AC/DC\https://raw.githubusercontent.com/shiabehugo/48otw/master/AC_DC/albums.dat
Billy Idol\https://raw.githubusercontent.com/shiabehugo/48otw/master/Billy_Idol/albums.dat
Bob Marley\https://raw.githubusercontent.com/shiabehugo/48otw/master/Bob_Marley/albums.dat
Calle 13\https://raw.githubusercontent.com/shiabehugo/48otw/master/Calle_13/albums.dat
Dream Theater\https://raw.githubusercontent.com/shiabehugo/48otw/master/Dream_Theater/albums.dat
Foo Fighters\https://raw.githubusercontent.com/shiabehugo/48otw/master/Foo_Fighters/albums.dat
Frédéric Chopin\https://raw.githubusercontent.com/shiabehugo/48otw/master/Chopin/albums.dat
Janis Joplin\https://raw.githubusercontent.com/shiabehugo/48otw/master/Janis_Joplin/albums.dat
Judas Priest\https://raw.githubusercontent.com/shiabehugo/48otw/master/Judas_Priest/albums.dat
Knife Party\https://raw.githubusercontent.com/shiabehugo/48otw/master/Knife_Party/albums.dat
Lamb of God\https://raw.githubusercontent.com/shiabehugo/48otw/master/Lamb_of_God/albums.dat
La Vida Bohème\https://raw.githubusercontent.com/shiabehugo/48otw/master/La_Vida_Boheme/albums.dat
Led Zeppelin\https://raw.githubusercontent.com/shiabehugo/48otw/master/Led_Zeppelin/albums.dat
Limp Bizkit\https://raw.githubusercontent.com/shiabehugo/48otw/master/Limp_Bizkit/albums.dat
Lynyrd Skynyrd\https://raw.githubusercontent.com/shiabehugo/48otw/master/Lynyrd_Skynyrd/albums.dat
Marilyn Manson\https://raw.githubusercontent.com/shiabehugo/48otw/master/Marilyn_Manson/albums.dat
Michael Jackson\https://raw.githubusercontent.com/shiabehugo/48otw/master/Michael_Jackson/albums.dat
Molotov\https://raw.githubusercontent.com/shiabehugo/48otw/master/Molotov/albums.dat
Pink Floyd\https://raw.githubusercontent.com/shiabehugo/48otw/master/Pink_Floyd/albums.dat
Queen\https://raw.githubusercontent.com/shiabehugo/48otw/master/Queen/albums.dat
Rammstein\https://raw.githubusercontent.com/shiabehugo/48otw/master/Rammstein/albums.dat
Residente\https://raw.githubusercontent.com/shiabehugo/48otw/master/Residente/albums.dat
Skrillex\https://raw.githubusercontent.com/shiabehugo/48otw/master/Skrillex/albums.dat
System of a Down\https://raw.githubusercontent.com/shiabehugo/48otw/master/System_of_a_Down/albums.dat
The Killers\https://raw.githubusercontent.com/shiabehugo/48otw/master/The_Killers/albums.dat
The Offspring\https://raw.githubusercontent.com/shiabehugo/48otw/master/The_Offspring/albums.dat
The Rolling Stones\https://raw.githubusercontent.com/shiabehugo/48otw/master/The_Rolling_Stones/albums.dat
Van Halen\https://raw.githubusercontent.com/shiabehugo/48otw/master/Van_Halen/albums.dat
